"","indx","trigger1","trigger2","trigger3","context1","context2","context3","function1","function2","function3","content1","content2","content3","content4","time_start","time_end","duration","recur","singers_n","singers_age1","singers_age2","shape_type","appear_paint","appear_adorn","appear_cloth","appear_mask","appear_obj","restrict_sex","restrict_marry","restrict_grp1","restrict_grp2","audience_n","audience_age1","audience_age2","audience_sex","audience_marry","audience_grp1","audience_grp2","instrument_type1","instrument_type2","instrument_type3"
"75",75,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Death (burials, funerals, mourning)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"76",76,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"77",77,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Status, role, and prestige","Animal husbandry","Kin groups (clans, tribes, nation)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"78",78,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"79",79,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Status, role, and prestige","Death (burials, funerals, mourning)","Kin groups (clans, tribes, nation)",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"80",80,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Family (includes nuclear family, polygamy, adoption)","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"81",81,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Death (burials, funerals, mourning)","Drives and emotions","Human Biology",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"82",82,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Sickness, medical care, and shamans",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"83",83,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions","Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"84",84,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"85",85,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Interpersonal relations (includes love)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"86",86,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"87",87,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".","Line (or row)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"88",88,"Death (burials, funerals, mourning)",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"89",89,".",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"90",90,"Agriculture",".",".","Drives and emotions","Agriculture",".",".",".",".","Drives and emotions",".",".",".",".",".",".",".","Solo singer","Adult",".",".",".",".",".",".",".","Male",".",".",".",".",".",".",".",".",".",".",".",".","."
"91",91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Chordophone","Chordophone","."
"92",92,"Drives and emotions",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Drives and emotions","Death (burials, funerals, mourning)",".","Drives and emotions","Death (burials, funerals, mourning)",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Chordophone",".","."
"93",93,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Traditional history","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Membranophone","Idiophone","."
"94",94,"Drives and emotions",".",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)","Drives and emotions",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"95",95,".",".",".","Labor","Friendships",".","Drives and emotions","Interpersonal relations (includes love)",".","Interpersonal relations (includes love)","Fauna",".",".",".",".",".",".","Solo singer",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"96",96,"Spectacles",".",".","Status, role, and prestige","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Status, role, and prestige","Communication","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)","Status, role, and prestige","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Political behavior",".",".",".",".",".","Multiple singers (number unknown)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"97",97,"Marriage",".",".","Marriage","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Drives and emotions",".",".",".",".",".",".",".",".",".",".","2-5 singers","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Chordophone",".","."
"98",98,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Communication",".","Ideas about nature and people","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"99",99,"Spectacles",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Other shape","Head/face & shoulders",".",".",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".","Male",".","Adults",".",".",".","."
"100",100,"Spectacles","Food consumption",".","Food consumption","Spectacles",".","Status, role, and prestige","Drives and emotions",".","Status, role, and prestige","Traditional history",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".","Both sexes",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".","Both sexes","Both married & unmarried","Community (mixed-gender groups, includes ""village"")",".","Chordophone",".","."
"101",101,"Annual cycle",".",".","Games",".",".","Drives and emotions","Interpersonal relations (includes love)",".","Fauna","Travel and transportation","Ideas about nature and people",".",".",".",".",".","Multiple singers (number unknown)","Child",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102",102,"Marriage","Interpersonal relations (includes love)",".","Dance",".",".","Inter-community relations","War",".","War","Drives and emotions",".",".",".",".",".",".","Multiple singers (number unknown)","Adult",".",".",".",".",".",".","1",".",".","Raiders, warriors, head-hunters, etc.",".",".",".",".",".",".",".",".",".",".","."
"103",103,"Death (burials, funerals, mourning)","Drives and emotions",".","Death (burials, funerals, mourning)",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Drives and emotions","Death (burials, funerals, mourning)",".",".",".",".",".",".",".","Adult",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104",104,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".","Drives and emotions","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",".",".",".",".",".",".",".","1-10 hours","No recurrence","Multiple singers (number unknown)","Adult",".",".",".",".",".",".",".",".",".","Singers/musicians (e.g., bards, minstrels)",".",".",".",".",".",".",".",".",".",".","."
